window_size,horizon,sell_threshold,classifier,n_estimators,max_depth,min_recall,threshold,met_recall_req,accuracy,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,total_samples,sell_samples,sell_pct
30,2,0.005,random_forest,200,10,0.3,0.2544215892325648,True,0.31552567237163814,0.31552567237163814,1.0,0.47969519561379054,0.5008124340574184,0.3230456983333637,5162,11198,81799,28886,35.31339013924376
30,2,0.005,random_forest,100,10,0.3,0.2123469401405256,True,0.31552567237163814,0.31552567237163814,1.0,0.47969519561379054,0.49783992741273125,0.3183704892079639,5162,11198,81799,28886,35.31339013924376
30,2,0.005,random_forest,100,10,0.4,0.2123469401405256,True,0.31552567237163814,0.31552567237163814,1.0,0.47969519561379054,0.49783992741273125,0.3183704892079639,5162,11198,81799,28886,35.31339013924376
30,2,0.005,random_forest,200,6,0.3,0.3186129131108405,True,0.31552567237163814,0.31552567237163814,1.0,0.47969519561379054,0.49962884970257115,0.3244574854044645,5162,11198,81799,28886,35.31339013924376
30,2,0.005,random_forest,200,6,0.4,0.3186129131108405,True,0.31552567237163814,0.31552567237163814,1.0,0.47969519561379054,0.49962884970257115,0.3244574854044645,5162,11198,81799,28886,35.31339013924376
30,2,0.005,random_forest,200,8,0.3,0.27833788013072874,True,0.31552567237163814,0.31552567237163814,1.0,0.47969519561379054,0.49969355102224966,0.32269187172742414,5162,11198,81799,28886,35.31339013924376
30,2,0.005,random_forest,200,8,0.4,0.27833788013072874,True,0.31552567237163814,0.31552567237163814,1.0,0.47969519561379054,0.49969355102224966,0.32269187172742414,5162,11198,81799,28886,35.31339013924376
20,5,0.01,random_forest,100,6,0.3,0.3352817264257154,True,0.2786745964316058,0.2786745964316058,1.0,0.43588039867109635,0.5182741048673197,0.29848334921363845,4592,11886,82389,26639,32.333199820364364
20,5,0.005,xgboost,100,8,0.4,0.06005430221557617,True,0.35811384876805435,0.35803593105122605,1.0,0.5272849162011173,0.5078035323188793,0.36908733402979693,5899,10577,82389,32588,39.553823932806566
20,5,0.005,xgboost,100,8,0.3,0.06005430221557617,True,0.35811384876805435,0.35803593105122605,1.0,0.5272849162011173,0.5078035323188793,0.36908733402979693,5899,10577,82389,32588,39.553823932806566
