window_size,horizon,sell_threshold,classifier,n_estimators,max_depth,min_precision,threshold,met_precision_req,accuracy,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,total_samples,sell_samples,sell_pct
10,6,0.03,xgboost,200,15,0.5,0.056286804378032684,False,0.19384615384615383,0.1775113792884529,0.9891105403202239,0.3010030470538126,0.5220187538556355,0.18457479598733034,64309,297972,1852497,331689,17.904968267155088
20,6,0.025,xgboost,200,15,0.45,0.06354895979166031,False,0.22792684816019698,0.20951918434104502,0.9886344180901081,0.34576180628163733,0.5364528981169407,0.22523366468578204,75068,283219,1839733,388950,21.141654794472895
20,6,0.025,xgboost,200,15,0.5,0.06354895979166031,False,0.22792684816019698,0.20951918434104502,0.9886344180901081,0.34576180628163733,0.5364528981169407,0.22523366468578204,75068,283219,1839733,388950,21.141654794472895
20,6,0.02,xgboost,100,15,0.5,0.115121029317379,False,0.2645082036271528,0.24726448309270463,0.9885804226248284,0.3955849574085076,0.539276861178777,0.2659675180856518,88560,269599,1839733,460574,25.034828423472323
30,12,0.02,xgboost,100,15,0.5,0.13166643679141998,False,0.31392818727471283,0.29813488065825094,0.9883484458375312,0.45808778066507844,0.5480275810851323,0.3247035863935046,105947,249419,1826832,550114,30.11300437040735
10,9,0.03,xgboost,200,15,0.5,0.07619386166334152,False,0.22905263157894737,0.21222802629540274,0.9882756132756133,0.349419653431971,0.5273130341207635,0.2232497927038175,76706,284726,1852497,398143,21.49223453533258
10,9,0.03,xgboost,200,15,0.45,0.07619386166334152,False,0.22905263157894737,0.21222802629540274,0.9882756132756133,0.349419653431971,0.5273130341207635,0.2232497927038175,76706,284726,1852497,398143,21.49223453533258
10,6,0.02,xgboost,200,5,0.45,0.2001594454050064,False,0.2647773279352227,0.24730296902263316,0.9882386848610479,0.395606833814067,0.5383743710213896,0.26552164420499563,89150,271339,1852497,463746,25.03356280738916
10,6,0.02,xgboost,200,5,0.5,0.2001594454050064,False,0.2647773279352227,0.24730296902263316,0.9882386848610479,0.395606833814067,0.5383743710213896,0.26552164420499563,89150,271339,1852497,463746,25.03356280738916
15,9,0.015,xgboost,200,5,0.5,0.2577752470970154,False,0.3359179704955949,0.3203610424291755,0.9880667847378648,0.4838449604570437,0.5445624481279724,0.3445219225745303,114926,243813,1846162,596128,32.2901240519521
