window_size,horizon,buy_threshold,classifier,n_estimators,max_depth,min_precision,threshold,met_precision_req,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
30,3,0.015,xgboost,400,4,0.58,0.8382059931755066,True,0.7132937969647856,0.7142857142857143,0.0003211303789338471,0.0006419721384091931,0.5327082742709173,0.30777685218099055,0.7142857142857143,5,2,271476,69550,25.619207591094607
30,3,0.015,xgboost,100,4,0.58,0.7990837097167969,True,0.7132753794017975,0.625,0.0003211303789338471,0.0006419309282321222,0.5353170949792643,0.3113100373397903,0.625,5,3,271476,69550,25.619207591094607
15,9,0.03,xgboost,400,4,0.58,0.8678794503211975,True,0.7296100583090379,1.0,0.00026948730041096813,0.000538829393143396,0.5297114923125806,0.29174813215885126,1.0,4,0,274400,65924,24.02478134110787
15,9,0.03,random_forest,800,4,0.58,0.5579542119676089,True,0.7295736151603499,0.6666666666666666,0.00026948730041096813,0.0005387568186409859,0.5342915698956368,0.2954420601035328,0.6666666666666666,4,2,274400,65924,24.02478134110787
30,9,0.015,xgboost,100,4,0.58,0.8586615324020386,True,0.6270075143656991,0.8333333333333334,0.00024684044233807265,0.0004935346954890929,0.5265406251798368,0.39622413532953815,0.8333333333333334,5,1,271476,96231,35.447332360871684
40,3,0.03,xgboost,800,4,0.58,0.8253241777420044,True,0.8378473639298037,0.6666666666666666,0.00022878059940517045,0.00045740423098913663,0.5512835098688406,0.18610895580483644,0.6666666666666666,2,1,269526,36087,13.389060795618976
40,9,0.03,random_forest,100,4,0.58,0.563636950410807,True,0.727674099358142,0.6,0.00020434575301409987,0.0004085523627944982,0.5297977966865252,0.29264654447733357,0.6,3,2,269526,65290,24.224008073432618
15,9,0.03,random_forest,400,4,0.58,0.5580941040658002,True,0.7295553935860059,0.6,0.0002021154753082261,0.0004040948275862069,0.5341892475795535,0.2958105254430512,0.6,3,2,274400,65924,24.02478134110787
40,3,0.015,random_forest,800,4,0.58,0.5670844408030148,True,0.7127406967684488,0.6,0.00019372336303758234,0.0003873216706474727,0.5358400533120778,0.3110742711955933,0.6,3,2,269526,69261,25.69733532200975
40,3,0.015,random_forest,400,4,0.58,0.5672895785977662,True,0.7127406967684488,0.6,0.00019372336303758234,0.0003873216706474727,0.535309441894521,0.31052282428042277,0.6,3,2,269526,69261,25.69733532200975
30,3,0.015,xgboost,800,4,0.58,0.8900577425956726,True,0.7132569618388095,0.6,0.0001926782273603083,0.0003852327447833066,0.5268454448892141,0.304547640585648,0.6,3,2,271476,69550,25.619207591094607
40,3,0.03,random_forest,100,4,0.58,0.6037991261885057,True,0.8378473639298037,1.0,0.00011439029970258523,0.00022875443211712226,0.5588751275733992,0.193062621315373,1.0,1,0,269526,36087,13.389060795618976
30,3,0.03,xgboost,400,4,0.58,0.8431417942047119,True,0.8382201267128334,1.0,0.00011383039271485487,0.00022763487366264513,0.5591671452536314,0.1911024547482991,1.0,1,0,271476,36232,13.346299488720916
30,3,0.03,xgboost,100,4,0.58,0.8104649186134338,True,0.8382201267128334,1.0,0.00011383039271485487,0.00022763487366264513,0.5624377074612432,0.1929973235394717,1.0,1,0,271476,36232,13.346299488720916
30,3,0.03,random_forest,400,4,0.58,0.6180760689679963,False,0.8382017091498453,0.5,0.00011383039271485487,0.00022760896779333106,0.5513724395962138,0.18906526222350079,0.5,1,1,271476,36232,13.346299488720916
15,3,0.03,xgboost,100,4,0.58,0.7339003086090088,True,0.8386297376093295,1.0,0.00011290504685559444,0.00022578460149017836,0.5481336075486171,0.18817833190735442,1.0,1,0,274400,36514,13.306851311953352
15,3,0.03,random_forest,100,4,0.58,0.5963007112267301,True,0.8386297376093295,1.0,0.00011290504685559444,0.00022578460149017836,0.5452725233026334,0.1876015549546578,1.0,1,0,274400,36514,13.306851311953352
40,9,0.015,xgboost,800,4,0.58,0.9307010769844055,True,0.6257744963454903,0.6666666666666666,9.91375037176564e-05,0.00019824552708529514,0.523984946817073,0.3921806570142539,0.6666666666666666,2,1,269526,95933,35.59322662748677
15,9,0.015,xgboost,100,4,0.58,0.841295599937439,True,0.6283163265306122,0.6666666666666666,9.804402176577283e-05,0.00019605920988138416,0.52835173519287,0.396457514169562,0.6666666666666666,2,1,274400,96906,35.315597667638485
30,9,0.03,xgboost,100,4,0.58,0.8287866711616516,False,0.7284882864299396,0.5,6.78334011667345e-05,0.00013564839934888768,0.5412746086782425,0.3004777784827054,0.5,1,1,271476,65482,24.120732587779397
30,9,0.03,xgboost,800,4,0.58,0.9034422039985657,False,0.7284882864299396,0.5,6.78334011667345e-05,0.00013564839934888768,0.5318847837556439,0.29357348429874947,0.5,1,1,271476,65482,24.120732587779397
