window_size,horizon,buy_threshold,classifier,n_estimators,max_depth,min_precision,min_recall,threshold,met_constraints,accuracy,precision,recall,f1,roc_auc,pr_auc,win_rate,true_positives,false_positives,total_samples,buy_samples,buy_pct
30,9,0.005,xgboost,100,8,0.48,0.1,0.8161530494689941,True,0.544206309709316,0.4800139419192319,0.2774211861225312,0.3516236102406982,0.5361213576143536,0.474518127760107,0.4800139419192319,30298,32821,1225726,553198,45.13227262862989
30,9,0.005,xgboost,100,8,0.48,0.05,0.8161530494689941,True,0.544206309709316,0.4800139419192319,0.2774211861225312,0.3516236102406982,0.5361213576143536,0.474518127760107,0.4800139419192319,30298,32821,1225726,553198,45.13227262862989
30,9,0.005,xgboost,200,8,0.48,0.1,0.818609893321991,True,0.5447243683356041,0.48002001334222816,0.2635400547553863,0.34026706389317446,0.5354336646875588,0.47261127435533584,0.48002001334222816,28782,31178,1225726,553198,45.13227262862989
30,9,0.005,xgboost,200,8,0.48,0.05,0.818609893321991,True,0.5447243683356041,0.48002001334222816,0.2635400547553863,0.34026706389317446,0.5354336646875588,0.47261127435533584,0.48002001334222816,28782,31178,1225726,553198,45.13227262862989
21,9,0.005,random_forest,100,12,0.48,0.05,0.5106307070948742,True,0.546214433675062,0.48001612144824346,0.2608909942225021,0.33805015640614744,0.5352028669481819,0.47311079937841616,0.48001612144824346,28584,30964,1233432,554941,44.991616886865266
21,9,0.005,random_forest,100,12,0.48,0.1,0.5106307070948742,True,0.546214433675062,0.48001612144824346,0.2608909942225021,0.33805015640614744,0.5352028669481819,0.47311079937841616,0.48001612144824346,28584,30964,1233432,554941,44.991616886865266
21,9,0.005,random_forest,200,8,0.48,0.1,0.5094275271744803,True,0.5467049337824855,0.4800113260304033,0.24756532771099732,0.3266574336123321,0.5340210390275559,0.4722813303171825,0.4800113260304033,27124,29383,1233432,554941,44.991616886865266
21,9,0.005,random_forest,200,8,0.48,0.05,0.5094275271744803,True,0.5467049337824855,0.4800113260304033,0.24756532771099732,0.3266574336123321,0.5340210390275559,0.4722813303171825,0.4800113260304033,27124,29383,1233432,554941,44.991616886865266
21,9,0.005,random_forest,100,8,0.48,0.05,0.5098883389431168,True,0.5469441032563532,0.4800014544396771,0.2409755118059929,0.3208662733111742,0.5337721975426702,0.4719903244482248,0.4800014544396771,26402,28602,1233432,554941,44.991616886865266
21,9,0.005,random_forest,100,8,0.48,0.1,0.5098883389431168,True,0.5469441032563532,0.4800014544396771,0.2409755118059929,0.3208662733111742,0.5337721975426702,0.4719903244482248,0.4800014544396771,26402,28602,1233432,554941,44.991616886865266
15,9,0.005,random_forest,200,12,0.48,0.1,0.5133658346008637,True,0.5473012797222558,0.4800007476356024,0.23346788123420426,0.3141406727828746,0.5330382033462535,0.4700310283224602,0.4800007476356024,25681,27821,1238546,557067,44.97749780791347
15,9,0.005,random_forest,200,12,0.48,0.05,0.5133658346008637,True,0.5473012797222558,0.4800007476356024,0.23346788123420426,0.3141406727828746,0.5330382033462535,0.4700310283224602,0.4800007476356024,25681,27821,1238546,557067,44.97749780791347
30,9,0.005,xgboost,100,12,0.48,0.05,0.8217387199401855,True,0.5468741076746102,0.4800017119989728,0.20537848058381328,0.28767105718792885,0.5292356995946405,0.4689283071940244,0.4800017119989728,22430,24299,1225726,553198,45.13227262862989
30,9,0.005,xgboost,100,12,0.48,0.1,0.8217387199401855,True,0.5468741076746102,0.4800017119989728,0.20537848058381328,0.28767105718792885,0.5292356995946405,0.4689283071940244,0.4800017119989728,22430,24299,1225726,553198,45.13227262862989
21,9,0.005,xgboost,100,8,0.48,0.1,0.8188241124153137,True,0.5482737233822618,0.4800145193662724,0.20518788277064337,0.28748633285804714,0.5327158238304525,0.47097197157574344,0.4800145193662724,22481,24353,1233432,554941,44.991616886865266
21,9,0.005,xgboost,100,8,0.48,0.05,0.8188241124153137,True,0.5482737233822618,0.4800145193662724,0.20518788277064337,0.28748633285804714,0.5327158238304525,0.47097197157574344,0.4800145193662724,22481,24353,1233432,554941,44.991616886865266
30,6,0.005,random_forest,200,12,0.48,0.1,0.5140111677584838,True,0.5629665587037929,0.48000188550284006,0.1931525037936267,0.2754600355720266,0.5414418997513464,0.46453010437266623,0.48000188550284006,20366,22063,1225726,533363,43.51404800093985
30,6,0.005,random_forest,200,12,0.48,0.05,0.5140111677584837,True,0.5629665587037929,0.48000188550284006,0.1931525037936267,0.2754600355720266,0.5414418997513464,0.46453010437266623,0.48000188550284006,20366,22063,1225726,533363,43.51404800093985
15,9,0.005,random_forest,100,12,0.48,0.1,0.5166149667894037,True,0.5488918493399539,0.4800192254875034,0.19066710303823706,0.2729260199102089,0.5323196919274764,0.46925941368252977,0.4800192254875034,20973,22719,1238546,557067,44.97749780791347
15,9,0.005,random_forest,100,12,0.48,0.05,0.5166149667894037,True,0.5488918493399539,0.4800192254875034,0.19066710303823706,0.2729260199102089,0.5323196919274764,0.46925941368252977,0.4800192254875034,20973,22719,1238546,557067,44.97749780791347
21,9,0.005,xgboost,200,8,0.48,0.1,0.8221517205238342,True,0.5489466408850081,0.4800037507618735,0.18688790923943302,0.26902989732034344,0.5303685067556371,0.46874529242168744,0.4800037507618735,20476,22182,1233432,554941,44.991616886865266
21,9,0.005,xgboost,200,8,0.48,0.05,0.8221517205238342,True,0.5489466408850081,0.4800037507618735,0.18688790923943302,0.26902989732034344,0.5303685067556371,0.46874529242168744,0.4800037507618735,20476,22182,1233432,554941,44.991616886865266
15,9,0.005,xgboost,100,8,0.48,0.05,0.8201652765274048,True,0.5491381050421864,0.4800265522391598,0.18407607411043836,0.26610767582912226,0.5302111236340741,0.46801012486350974,0.4800265522391598,20248,21933,1238546,557067,44.97749780791347
15,9,0.005,xgboost,100,8,0.48,0.1,0.8201652765274048,True,0.5491381050421864,0.4800265522391598,0.18407607411043836,0.26610767582912226,0.5302111236340741,0.46801012486350974,0.4800265522391598,20248,21933,1238546,557067,44.97749780791347
30,6,0.005,random_forest,100,12,0.48,0.1,0.5156213269052423,True,0.563341845267718,0.4800029902070718,0.18269157814871018,0.2646543611021426,0.54049314936828,0.46368388208746536,0.4800029902070718,19263,20868,1225726,533363,43.51404800093985
30,6,0.005,random_forest,100,12,0.48,0.05,0.5156213269052423,True,0.563341845267718,0.4800029902070718,0.18269157814871018,0.2646543611021426,0.54049314936828,0.46368388208746536,0.4800029902070718,19263,20868,1225726,533363,43.51404800093985
30,6,0.005,xgboost,100,8,0.48,0.1,0.8142240047454834,True,0.5637660822530247,0.4800446701587386,0.17122534142640364,0.2524170039636768,0.540042465878703,0.4621735352799895,0.4800446701587386,18054,19555,1225726,533363,43.51404800093985
30,6,0.005,xgboost,100,8,0.48,0.05,0.8142240047454834,True,0.5637660822530247,0.4800446701587386,0.17122534142640364,0.2524170039636768,0.540042465878703,0.4621735352799895,0.4800446701587386,18054,19555,1225726,533363,43.51404800093985
30,6,0.005,random_forest,100,8,0.48,0.1,0.5128925185293493,True,0.5639904383510235,0.48009470844116514,0.16538315629742034,0.24601797378705154,0.5371435797746262,0.461272795504324,0.48009470844116514,17438,18884,1225726,533363,43.51404800093985
30,6,0.005,random_forest,100,8,0.48,0.05,0.5128925185293493,True,0.5639904383510235,0.48009470844116514,0.16538315629742034,0.24601797378705154,0.5371435797746262,0.461272795504324,0.48009470844116514,17438,18884,1225726,533363,43.51404800093985
15,9,0.005,random_forest,100,8,0.48,0.1,0.5167272775915652,True,0.5499010940212345,0.48000855249091295,0.16327569592174404,0.24366749426784431,0.5317264932505833,0.46813783173341716,0.48000855249091295,17960,19456,1238546,557067,44.97749780791347
